X,Y,Z,Index,Val
8,124,4,1033,0.321999997
66,42,4,8491,0.0493
44,66,4,5655,0.082800001
50,120,4,6489,0.123199999
86,110,4,11159,0.128299996
87,96,4,11275,0.0359
80,3,4,10272,0.305000007
93,25,4,11984,0.300000012
66,112,4,8561,0.039099998999999996
51,70,4,6569,0.0416
88,90,4,11399,0.037900001
73,31,4,9390,0.270999998
10,9,4,1178,0.069700003
97,103,4,12582,0.034200002
53,36,4,6795,0.075800002
5,1,4,520,0.032200001
79,57,4,10196,0.11169999800000001
90,130,4,11699,0.050799999000000005
70,46,4,9015,0.122699998
18,6,4,2215,0.0396
50,124,4,6493,0.083800003
54,56,4,6945,0.1017
60,109,4,7778,0.045499999000000006
78,13,4,10022,0.045499999000000006
88,121,4,11430,0.164100006
66,123,4,8572,0.23600000100000001
6,30,4,679,0.275000006
18,55,4,2264,0.303000003
44,7,4,5596,0.093800001
16,79,4,2028,0.052700002
24,105,4,3094,0.08659999800000001
66,61,4,8510,0.074699998
24,130,4,3119,0.199499995
64,130,4,8319,0.303000003
36,50,4,4599,0.160999998
11,125,4,1424,0.11169999800000001
29,22,4,3661,0.081500001
95,25,4,12244,0.300000012
69,106,4,8945,0.28499999600000003
79,64,4,10203,0.175600007
28,47,4,3556,0.144099995
91,14,4,11713,0.13950000699999998
50,85,4,6454,0.298999995
96,21,4,12370,0.068800002
90,3,4,11572,0.17270000300000002
57,19,4,7298,0.054499999
88,96,4,11405,0.033799998
62,31,4,7960,0.049600001
14,121,4,1810,0.10109999800000001
83,27,4,10686,0.041700002
18,24,4,2233,0.0416
54,126,4,7015,0.034600001
37,74,4,4753,0.30099999899999996
27,15,4,3394,0.13120000099999998
42,69,4,5398,0.298000008
15,98,4,1917,0.058800001
21,55,4,2654,0.303000003
13,55,4,1614,0.289999992
41,49,4,5248,0.298000008
28,20,4,3529,0.077600002
87,109,4,11288,0.255400002
72,11,4,9240,0.082599998
90,41,4,11610,0.062600002
41,99,4,5298,0.298000008
86,26,4,11075,0.102600001
75,85,4,9704,0.189700007
10,98,4,1267,0.289999992
93,45,4,12004,0.26300001100000003
